epoch,phase,loss,acc
0,train,2.4919,0.4254
0,val,1.5259,0.6333
1,train,1.5772,0.6108
1,val,1.0964,0.7178
2,train,1.3126,0.6642
2,val,0.8826,0.7640
3,train,1.1357,0.7056
3,val,0.7689,0.7854
4,train,1.0123,0.7329
4,val,0.6362,0.8212
5,train,0.9397,0.7460
5,val,0.5863,0.8166
6,train,0.8608,0.7677
6,val,0.5872,0.8264
7,train,0.8231,0.7739
7,val,0.5112,0.8531
8,train,0.7735,0.7888
8,val,0.4894,0.8505
9,train,0.7435,0.7947
9,val,0.4781,0.8544
10,train,0.7215,0.8011
10,val,0.4885,0.8518
11,train,0.6864,0.8034
11,val,0.4497,0.8680
12,train,0.6652,0.8137
12,val,0.4029,0.8797
13,train,0.6325,0.8214
13,val,0.3922,0.8778
14,train,0.5883,0.8321
14,val,0.4078,0.8804
15,train,0.6077,0.8325
15,val,0.3837,0.8817
16,train,0.5806,0.8360
16,val,0.3624,0.8843
17,train,0.5633,0.8319
17,val,0.3840,0.8830
18,train,0.5802,0.8314
18,val,0.3392,0.8966
19,train,0.5520,0.8385
19,val,0.3424,0.9018
20,train,0.5397,0.8486
20,val,0.3255,0.9051
21,train,0.5176,0.8530
21,val,0.3604,0.8927
22,train,0.5136,0.8512
22,val,0.3299,0.8992
23,train,0.5097,0.8523
23,val,0.3345,0.9005
24,train,0.5012,0.8564
24,val,0.3538,0.8979
25,train,0.4892,0.8569
25,val,0.3086,0.9005
26,train,0.4852,0.8639
26,val,0.3467,0.8927
27,train,0.4622,0.8641
27,val,0.3173,0.9090
28,train,0.4645,0.8616
28,val,0.3052,0.9096
29,train,0.4570,0.8637
29,val,0.3249,0.9031
30,train,0.4546,0.8642
30,val,0.2982,0.9096
31,train,0.4192,0.8786
31,val,0.3152,0.9083
32,train,0.4300,0.8746
32,val,0.3011,0.9057
33,train,0.4199,0.8744
33,val,0.3417,0.8960
34,train,0.4276,0.8739
34,val,0.3206,0.9018
35,train,0.4056,0.8817
35,val,0.3159,0.9051
36,train,0.4107,0.8845
36,val,0.3251,0.8973
37,train,0.4148,0.8783
37,val,0.3112,0.9025
38,train,0.3897,0.8824
38,val,0.3092,0.9005
39,train,0.3842,0.8888
39,val,0.3066,0.9083
40,train,0.3874,0.8867
40,val,0.3073,0.9070
41,train,0.3665,0.8904
41,val,0.2970,0.9122
42,train,0.3717,0.8894
42,val,0.3040,0.9064
43,train,0.3700,0.8902
43,val,0.3001,0.9090
44,train,0.3598,0.8955
44,val,0.2980,0.9070
45,train,0.3731,0.8883
45,val,0.3079,0.9038
46,train,0.3552,0.8976
46,val,0.3124,0.9096
47,train,0.3723,0.8927
47,val,0.2910,0.9116
48,train,0.3478,0.8999
48,val,0.2838,0.9148
49,train,0.3629,0.8922
49,val,0.2610,0.9187
50,train,0.3350,0.8989
50,val,0.2608,0.9194
51,train,0.3230,0.9050
51,val,0.2762,0.9187
52,train,0.3095,0.9105
52,val,0.2604,0.9213
53,train,0.3076,0.9083
53,val,0.2794,0.9174
54,train,0.3108,0.9127
54,val,0.2585,0.9161
55,train,0.3179,0.9067
55,val,0.2669,0.9181
56,train,0.3046,0.9081
56,val,0.2570,0.9129
57,train,0.3080,0.9081
57,val,0.2733,0.9142
58,train,0.2913,0.9133
58,val,0.2655,0.9148
59,train,0.2937,0.9133
59,val,0.2637,0.9181
60,train,0.2916,0.9165
60,val,0.2550,0.9207
61,train,0.2822,0.9160
61,val,0.2625,0.9174
62,train,0.2981,0.9157
62,val,0.2804,0.9122
63,train,0.2710,0.9213
63,val,0.2805,0.9155
64,train,0.2904,0.9126
64,val,0.2667,0.9200
65,train,0.2807,0.9168
65,val,0.2798,0.9174
66,train,0.2964,0.9158
