epoch,phase,loss,acc
99,val,0.2143,0.9363
100,train,0.2143,0.9368
100,val,0.2241,0.9311
101,train,0.1848,0.9470
101,val,0.2161,0.9363
102,train,0.2064,0.9403
102,val,0.2203,0.9285
103,train,0.1921,0.9417
103,val,0.2167,0.9343
104,train,0.1826,0.9471
104,val,0.2189,0.9350
105,train,0.1949,0.9450
105,val,0.2273,0.9343
106,train,0.2070,0.9389
106,val,0.2263,0.9356
107,train,0.1980,0.9434
107,val,0.2273,0.9304
108,train,0.1855,0.9443
108,val,0.2197,0.9343
109,train,0.1907,0.9463
109,val,0.2270,0.9330
110,train,0.1842,0.9460
110,val,0.2195,0.9382
111,train,0.1892,0.9417
111,val,0.2225,0.9389
112,train,0.1964,0.9453
112,val,0.2338,0.9324
113,train,0.2040,0.9404
113,val,0.2230,0.9343
114,train,0.2007,0.9379
114,val,0.2214,0.9343
115,train,0.1839,0.9483
115,val,0.2227,0.9350
116,train,0.1968,0.9410
116,val,0.2175,0.9376
117,train,0.1855,0.9462
117,val,0.2224,0.9363
118,train,0.1933,0.9448
118,val,0.2285,0.9330
119,train,0.1974,0.9420
119,val,0.2253,0.9369
120,train,0.1890,0.9414
120,val,0.2306,0.9304
121,train,0.2073,0.9400
121,val,0.2230,0.9343
122,train,0.1889,0.9456
122,val,0.2225,0.9317
123,train,0.1888,0.9432
123,val,0.2262,0.9311
124,train,0.1997,0.9404
124,val,0.2285,0.9285
125,train,0.1875,0.9446
125,val,0.2243,0.9343
126,train,0.1835,0.9469
126,val,0.2209,0.9363
127,train,0.1762,0.9495
127,val,0.2362,0.9317
128,train,0.1781,0.9487
128,val,0.2200,0.9343
129,train,0.1716,0.9487
129,val,0.2214,0.9343
130,train,0.1933,0.9427
130,val,0.2175,0.9337
131,train,0.1731,0.9502
131,val,0.2286,0.9317
132,train,0.1944,0.9449
132,val,0.2263,0.9343
133,train,0.1811,0.9453
133,val,0.2247,0.9369
134,train,0.1850,0.9498
134,val,0.2295,0.9343
135,train,0.1752,0.9490
135,val,0.2232,0.9356
136,train,0.1760,0.9470
136,val,0.2315,0.9356
137,train,0.1744,0.9497
137,val,0.2333,0.9285
138,train,0.1905,0.9452
138,val,0.2330,0.9298
139,train,0.1910,0.9464
139,val,0.2288,0.9298
140,train,0.1760,0.9501
140,val,0.2309,0.9324
141,train,0.1889,0.9449
141,val,0.2384,0.9317
142,train,0.1849,0.9471
142,val,0.2228,0.9363
143,train,0.1742,0.9499
143,val,0.2312,0.9298
144,train,0.1959,0.9422
144,val,0.2269,0.9343
145,train,0.1739,0.9484
145,val,0.2308,0.9304
146,train,0.1857,0.9460
146,val,0.2367,0.9337
147,train,0.1903,0.9445
147,val,0.2296,0.9363
148,train,0.1764,0.9505
148,val,0.2297,0.9304
149,train,0.1640,0.9508
149,val,0.2281,0.9330
