epoch,phase,loss,acc
99,val,0.2893,0.9278
100,train,0.2014,0.9362
100,val,0.2622,0.9350
101,train,0.1846,0.9457
101,val,0.2477,0.9382
102,train,0.1711,0.9481
102,val,0.2630,0.9311
103,train,0.1633,0.9491
103,val,0.2728,0.9382
104,train,0.1627,0.9515
104,val,0.2874,0.9304
105,train,0.1552,0.9505
105,val,0.2789,0.9304
106,train,0.1475,0.9562
106,val,0.2936,0.9265
