epoch,phase,loss,acc
0,train,1.9722,0.5085
0,val,1.2874,0.6450
1,train,1.2797,0.6526
1,val,0.9721,0.7334
2,train,1.0634,0.7035
2,val,0.9864,0.7113
3,train,0.9446,0.7302
3,val,0.6246,0.8179
4,train,0.8620,0.7523
4,val,0.7650,0.7789
5,train,0.7943,0.7688
5,val,0.6398,0.8101
6,train,0.7548,0.7870
6,val,0.5951,0.8173
7,train,0.7057,0.7918
7,val,0.4608,0.8622
8,train,0.6781,0.7974
8,val,0.5488,0.8375
9,train,0.6472,0.8076
9,val,0.5168,0.8453
10,train,0.6228,0.8149
10,val,0.4566,0.8589
11,train,0.5957,0.8239
11,val,0.5074,0.8485
12,train,0.5982,0.8193
12,val,0.4955,0.8550
13,train,0.5729,0.8255
13,val,0.4768,0.8641
14,train,0.5400,0.8382
14,val,0.4467,0.8752
15,train,0.5342,0.8406
15,val,0.4703,0.8589
16,train,0.5379,0.8346
16,val,0.3954,0.8797
17,train,0.4986,0.8472
17,val,0.4932,0.8563
18,train,0.4933,0.8558
18,val,0.4080,0.8693
19,train,0.4879,0.8484
19,val,0.4917,0.8706
20,train,0.5028,0.8491
20,val,0.4662,0.8654
21,train,0.4624,0.8611
21,val,0.4400,0.8700
22,train,0.4586,0.8625
22,val,0.4603,0.8576
23,train,0.4424,0.8644
23,val,0.4264,0.8791
24,train,0.4335,0.8641
24,val,0.3955,0.8765
25,train,0.4285,0.8681
25,val,0.4793,0.8674
26,train,0.4133,0.8688
26,val,0.4338,0.8823
27,train,0.4231,0.8746
27,val,0.3922,0.8843
28,train,0.4122,0.8764
28,val,0.3743,0.8895
29,train,0.3760,0.8853
29,val,0.3730,0.8914
30,train,0.3781,0.8844
30,val,0.3907,0.8908
31,train,0.3725,0.8873
31,val,0.3618,0.8960
32,train,0.3690,0.8845
32,val,0.4005,0.8836
33,train,0.3733,0.8832
33,val,0.3738,0.8940
34,train,0.3733,0.8848
34,val,0.3744,0.8947
35,train,0.3722,0.8863
35,val,0.4240,0.8856
36,train,0.3537,0.8929
36,val,0.3868,0.8791
37,train,0.3396,0.8941
37,val,0.3681,0.8953
38,train,0.3479,0.8934
38,val,0.3657,0.8895
39,train,0.3329,0.8999
39,val,0.3611,0.9012
40,train,0.3226,0.8965
40,val,0.3822,0.8986
41,train,0.3464,0.8948
41,val,0.3884,0.8986
42,train,0.3406,0.8986
42,val,0.3376,0.8927
43,train,0.3280,0.8961
43,val,0.3950,0.8947
44,train,0.3209,0.8983
44,val,0.3454,0.9005
45,train,0.3144,0.8996
45,val,0.3325,0.8973
46,train,0.3297,0.9010
46,val,0.3477,0.9070
47,train,0.3219,0.9009
