epoch,phase,loss,acc
0,train,2.0210,0.5033
0,val,1.3003,0.6632
1,train,1.3071,0.6482
1,val,1.2586,0.6625
2,train,1.1018,0.6956
2,val,0.7660,0.7731
3,train,0.9705,0.7297
3,val,0.6659,0.8134
4,train,0.8908,0.7480
4,val,0.6307,0.8043
5,train,0.8069,0.7672
5,val,0.6082,0.8179
6,train,0.7910,0.7700
6,val,0.5401,0.8322
7,train,0.7468,0.7791
7,val,0.5287,0.8440
8,train,0.7050,0.7942
8,val,0.5218,0.8505
9,train,0.6742,0.7988
9,val,0.5769,0.8270
10,train,0.6340,0.8088
10,val,0.4645,0.8550
11,train,0.6167,0.8171
11,val,0.6085,0.8101
12,train,0.6076,0.8206
12,val,0.4463,0.8726
13,train,0.5747,0.8319
13,val,0.4482,0.8596
14,train,0.5848,0.8235
14,val,0.4177,0.8732
15,train,0.5585,0.8353
15,val,0.4453,0.8641
16,train,0.5244,0.8382
16,val,0.4027,0.8732
17,train,0.5447,0.8360
17,val,0.5779,0.7971
18,train,0.4941,0.8511
18,val,0.4653,0.8622
19,train,0.5018,0.8473
19,val,0.6445,0.8277
20,train,0.5108,0.8452
20,val,0.4327,0.8700
21,train,0.4646,0.8551
21,val,0.8632,0.7497
22,train,0.4767,0.8606
22,val,0.4718,0.8628
23,train,0.4710,0.8578
23,val,0.4261,0.8797
24,train,0.4648,0.8541
24,val,0.3980,0.8752
25,train,0.4362,0.8656
25,val,0.4324,0.8778
26,train,0.4424,0.8620
26,val,0.3653,0.8843
27,train,0.4290,0.8705
27,val,0.3845,0.8901
28,train,0.4124,0.8741
28,val,0.3833,0.8810
29,train,0.3996,0.8748
29,val,0.3717,0.8869
30,train,0.4193,0.8715
30,val,0.3673,0.8869
31,train,0.4038,0.8800
31,val,0.5071,0.8479
32,train,0.3972,0.8783
32,val,0.4366,0.8719
33,train,0.4086,0.8753
33,val,0.4066,0.8778
34,train,0.3847,0.8835
34,val,0.3712,0.8882
35,train,0.3746,0.8851
35,val,0.4054,0.8934
36,train,0.3720,0.8864
36,val,0.3541,0.9031
37,train,0.3666,0.8859
37,val,0.4081,0.8817
38,train,0.3628,0.8864
38,val,0.3430,0.9005
39,train,0.3433,0.8969
39,val,0.3397,0.8973
40,train,0.3656,0.8885
40,val,0.3357,0.8973
41,train,0.3461,0.8906
41,val,0.4122,0.8895
42,train,0.3508,0.8860
42,val,0.4449,0.8778
43,train,0.3587,0.8883
43,val,0.3770,0.8908
44,train,0.3414,0.8918
44,val,0.3895,0.8921
45,train,0.3154,0.8999
45,val,0.3906,0.8940
46,train,0.3249,0.8965
46,val,0.3657,0.8973
47,train,0.3241,0.9023
47,val,0.3955,0.8901
48,train,0.3251,0.9046
48,val,0.4339,0.8804
49,train,0.3109,0.9064
49,val,0.3859,0.9064
50,train,0.2582,0.9228
50,val,0.3432,0.9129
51,train,0.2255,0.9297
51,val,0.3402,0.9070
52,train,0.2323,0.9320
52,val,0.3296,0.9135
53,train,0.2310,0.9294
53,val,0.3051,0.9200
54,train,0.2342,0.9297
54,val,0.3140,0.9213
55,train,0.2177,0.9329
55,val,0.3264,0.9220
56,train,0.2333,0.9278
56,val,0.3094,0.9155
57,train,0.2204,0.9311
57,val,0.3272,0.9142
58,train,0.2257,0.9304
58,val,0.3228,0.9109
59,train,0.2241,0.9297
59,val,0.3288,0.9122
60,train,0.2044,0.9364
60,val,0.3704,0.9083
61,train,0.2118,0.9372
61,val,0.3144,0.9181
62,train,0.2068,0.9382
62,val,0.3158,0.9233
63,train,0.2107,0.9346
63,val,0.3679,0.9070
64,train,0.2113,0.9358
64,val,0.3496,0.9168
65,train,0.1997,0.9371
65,val,0.3401,0.9194
66,train,0.2036,0.9383
66,val,0.3645,0.9096
67,train,0.2000,0.9393
67,val,0.3341,0.9142
68,train,0.1959,0.9407
68,val,0.3446,0.9181
69,train,0.2119,0.9343
69,val,0.3266,0.9083
70,train,0.1993,0.9360
70,val,0.3166,0.9194
71,train,0.2050,0.9374
71,val,0.3341,0.9135
72,train,0.2028,0.9394
72,val,0.3461,0.9103
73,train,0.2036,0.9381
73,val,0.3030,0.9246
74,train,0.1860,0.9420
74,val,0.3422,0.9142
75,train,0.2030,0.9403
75,val,0.3250,0.9174
76,train,0.1939,0.9442
76,val,0.3583,0.9122
