epoch,phase,loss,acc
99,val,0.3277,0.9239
100,train,0.1837,0.9424
100,val,0.3093,0.9298
101,train,0.1661,0.9499
101,val,0.3229,0.9272
102,train,0.1603,0.9522
102,val,0.2952,0.9265
103,train,0.1726,0.9492
103,val,0.2735,0.9356
104,train,0.1763,0.9481
104,val,0.2933,0.9317
105,train,0.1569,0.9522
105,val,0.2947,0.9324
