epoch,phase,loss,acc
99,val,0.2296,0.9350
100,train,0.1737,0.9505
100,val,0.2264,0.9337
101,train,0.1813,0.9463
101,val,0.2180,0.9369
102,train,0.1817,0.9473
102,val,0.2238,0.9330
103,train,0.1772,0.9490
103,val,0.2289,0.9343
104,train,0.1787,0.9492
104,val,0.2297,0.9356
105,train,0.1762,0.9483
105,val,0.2166,0.9350
106,train,0.1769,0.9481
106,val,0.2136,0.9389
107,train,0.1841,0.9429
107,val,0.2246,0.9350
108,train,0.1743,0.9470
108,val,0.2273,0.9382
109,train,0.1864,0.9460
109,val,0.2230,0.9389
110,train,0.1893,0.9418
110,val,0.2202,0.9350
111,train,0.1615,0.9513
111,val,0.2129,0.9337
112,train,0.1716,0.9494
112,val,0.2391,0.9330
113,train,0.1733,0.9463
113,val,0.2252,0.9356
114,train,0.1790,0.9427
114,val,0.2200,0.9350
115,train,0.1703,0.9485
115,val,0.2185,0.9350
116,train,0.1706,0.9460
116,val,0.2230,0.9337
117,train,0.1749,0.9456
117,val,0.2308,0.9350
118,train,0.1660,0.9497
118,val,0.2178,0.9350
119,train,0.1854,0.9469
119,val,0.2327,0.9337
120,train,0.1710,0.9485
120,val,0.2240,0.9337
