epoch,phase,loss,acc
0,train,3.1125,0.2809
0,val,2.2185,0.5046
1,train,1.9194,0.5609
1,val,1.4168,0.6664
2,train,1.4331,0.6482
2,val,0.9679,0.7594
3,train,1.1369,0.7059
3,val,0.7614,0.7952
4,train,0.9770,0.7368
4,val,0.6162,0.8251
5,train,0.8660,0.7635
5,val,0.5273,0.8446
6,train,0.7914,0.7814
6,val,0.4689,0.8570
7,train,0.7189,0.7997
7,val,0.4165,0.8739
8,train,0.6696,0.8091
8,val,0.3758,0.8804
9,train,0.6373,0.8142
9,val,0.3659,0.8875
10,train,0.6119,0.8248
10,val,0.3367,0.8986
11,train,0.5532,0.8397
11,val,0.3276,0.8947
12,train,0.5385,0.8459
12,val,0.3158,0.9012
13,train,0.5250,0.8507
13,val,0.2986,0.9018
14,train,0.4842,0.8597
14,val,0.2902,0.9044
15,train,0.4887,0.8646
15,val,0.2788,0.9103
16,train,0.4639,0.8660
16,val,0.2699,0.9090
17,train,0.4415,0.8691
17,val,0.2658,0.9161
18,train,0.4174,0.8758
18,val,0.2531,0.9194
19,train,0.4374,0.8739
19,val,0.2753,0.9031
20,train,0.3996,0.8828
20,val,0.2731,0.9109
21,train,0.3677,0.8873
21,val,0.2668,0.9181
22,train,0.3980,0.8837
22,val,0.2594,0.9148
23,train,0.3713,0.8925
23,val,0.2399,0.9220
24,train,0.3628,0.8927
24,val,0.2311,0.9220
25,train,0.3678,0.8939
25,val,0.2483,0.9194
26,train,0.3542,0.8944
26,val,0.2470,0.9200
27,train,0.3515,0.8961
27,val,0.2395,0.9226
28,train,0.3378,0.8972
28,val,0.2310,0.9272
29,train,0.3402,0.8995
29,val,0.2417,0.9220
30,train,0.3395,0.8993
30,val,0.2095,0.9343
31,train,0.3277,0.9036
31,val,0.2282,0.9278
32,train,0.3266,0.9036
32,val,0.2194,0.9311
33,train,0.3138,0.9070
33,val,0.2147,0.9350
34,train,0.2943,0.9140
34,val,0.2194,0.9291
35,train,0.2933,0.9130
35,val,0.2259,0.9337
36,train,0.3032,0.9090
36,val,0.2240,0.9317
37,train,0.2963,0.9144
37,val,0.2171,0.9285
38,train,0.2956,0.9125
38,val,0.2047,0.9350
39,train,0.2880,0.9175
39,val,0.2096,0.9324
40,train,0.2932,0.9153
40,val,0.2183,0.9343
41,train,0.2675,0.9236
41,val,0.2118,0.9369
42,train,0.2673,0.9228
42,val,0.2239,0.9343
43,train,0.2774,0.9160
43,val,0.2126,0.9311
44,train,0.2557,0.9243
44,val,0.2116,0.9369
45,train,0.2643,0.9241
45,val,0.2185,0.9369
46,train,0.2680,0.9227
46,val,0.2079,0.9356
47,train,0.2539,0.9264
47,val,0.2081,0.9350
48,train,0.2551,0.9252
48,val,0.2083,0.9304
49,train,0.2591,0.9271
49,val,0.2223,0.9330
50,train,0.2420,0.9281
50,val,0.2102,0.9369
51,train,0.2362,0.9312
51,val,0.2130,0.9343
52,train,0.2285,0.9326
52,val,0.2183,0.9330
53,train,0.2308,0.9336
53,val,0.2062,0.9421
54,train,0.2377,0.9304
54,val,0.2113,0.9421
55,train,0.2462,0.9283
55,val,0.2085,0.9350
56,train,0.2280,0.9354
56,val,0.2081,0.9402
57,train,0.2131,0.9372
57,val,0.2136,0.9382
58,train,0.2223,0.9334
58,val,0.2126,0.9382
59,train,0.2093,0.9390
59,val,0.2165,0.9337
60,train,0.2022,0.9408
60,val,0.2021,0.9363
61,train,0.2052,0.9397
61,val,0.2028,0.9343
62,train,0.1979,0.9434
62,val,0.2128,0.9376
63,train,0.2164,0.9353
63,val,0.2236,0.9304
64,train,0.1904,0.9445
64,val,0.2122,0.9369
65,train,0.2123,0.9385
65,val,0.2219,0.9304
66,train,0.2159,0.9381
66,val,0.2114,0.9311
67,train,0.1969,0.9415
67,val,0.2059,0.9389
68,train,0.2132,0.9353
68,val,0.2186,0.9330
69,train,0.2029,0.9393
69,val,0.2144,0.9343
70,train,0.2096,0.9401
70,val,0.2028,0.9350
71,train,0.2088,0.9396
71,val,0.2184,0.9311
72,train,0.1970,0.9410
72,val,0.2042,0.9337
73,train,0.2024,0.9418
73,val,0.1976,0.9395
74,train,0.1872,0.9462
74,val,0.2013,0.9389
75,train,0.1951,0.9422
75,val,0.2111,0.9350
76,train,0.2131,0.9368
76,val,0.2054,0.9343
77,train,0.1981,0.9428
77,val,0.2198,0.9298
78,train,0.1895,0.9462
78,val,0.2041,0.9324
79,train,0.1871,0.9441
79,val,0.2137,0.9376
80,train,0.1811,0.9481
80,val,0.2249,0.9285
81,train,0.1887,0.9438
81,val,0.2127,0.9324
82,train,0.1825,0.9450
82,val,0.2080,0.9350
83,train,0.1813,0.9435
83,val,0.2281,0.9356
84,train,0.2025,0.9424
84,val,0.2189,0.9350
85,train,0.1922,0.9418
85,val,0.2070,0.9421
86,train,0.1786,0.9464
86,val,0.2242,0.9343
87,train,0.1906,0.9435
87,val,0.2158,0.9356
88,train,0.1771,0.9469
