epoch,phase,loss,acc
99,val,0.4099,0.8810
100,train,0.4124,0.8725
100,val,0.3760,0.8908
101,train,0.3858,0.8820
101,val,0.4244,0.8765
102,train,0.3884,0.8832
102,val,0.4170,0.8856
103,train,0.3836,0.8845
103,val,0.3965,0.8856
104,train,0.3678,0.8885
104,val,0.3700,0.8940
105,train,0.3857,0.8828
105,val,0.3838,0.8875
106,train,0.3828,0.8818
106,val,0.3706,0.8836
107,train,0.3792,0.8858
107,val,0.4001,0.8856
108,train,0.3703,0.8870
108,val,0.3916,0.8830
109,train,0.3663,0.8849
109,val,0.3764,0.8882
110,train,0.3695,0.8851
110,val,0.3761,0.8953
111,train,0.3584,0.8895
111,val,0.3991,0.8888
112,train,0.3812,0.8846
112,val,0.3738,0.9044
113,train,0.3668,0.8883
113,val,0.3849,0.8960
114,train,0.3653,0.8851
114,val,0.3605,0.8986
115,train,0.3556,0.8936
115,val,0.3800,0.8979
116,train,0.3588,0.8927
116,val,0.4125,0.8888
117,train,0.3612,0.8874
117,val,0.4178,0.8869
118,train,0.3488,0.8913
118,val,0.3773,0.8986
119,train,0.3712,0.8859
119,val,0.3319,0.9044
120,train,0.3669,0.8851
120,val,0.3779,0.8914
121,train,0.3475,0.8940
121,val,0.3714,0.9018
122,train,0.3479,0.8955
122,val,0.4005,0.8914
123,train,0.3536,0.8870
123,val,0.3757,0.8908
124,train,0.3437,0.8943
124,val,0.3596,0.8960
125,train,0.3477,0.8940
125,val,0.3747,0.8986
126,train,0.3436,0.8941
126,val,0.4000,0.8940
127,train,0.3382,0.8940
127,val,0.3632,0.8979
128,train,0.3431,0.8954
128,val,0.3817,0.9064
129,train,0.3539,0.8904
129,val,0.3851,0.8973
130,train,0.3446,0.8915
130,val,0.4125,0.8927
131,train,0.3559,0.8940
131,val,0.3771,0.8979
132,train,0.3443,0.8986
132,val,0.3861,0.8921
133,train,0.3320,0.8933
133,val,0.3626,0.8986
134,train,0.3355,0.8983
134,val,0.3646,0.8999
135,train,0.3585,0.8923
135,val,0.4077,0.8888
136,train,0.3348,0.8974
136,val,0.4015,0.8934
137,train,0.3311,0.8947
137,val,0.3817,0.8986
138,train,0.3311,0.8953
138,val,0.4268,0.8934
139,train,0.3408,0.8923
139,val,0.3959,0.8979
140,train,0.3291,0.8967
140,val,0.4242,0.8869
141,train,0.3578,0.8944
141,val,0.3633,0.8966
142,train,0.3198,0.9025
142,val,0.3884,0.8960
143,train,0.3306,0.9004
143,val,0.4118,0.8914
144,train,0.3277,0.9002
144,val,0.3633,0.9005
145,train,0.3315,0.8978
145,val,0.3517,0.9096
146,train,0.3302,0.9004
146,val,0.3658,0.9012
147,train,0.3187,0.9007
147,val,0.4091,0.8966
148,train,0.3457,0.8923
148,val,0.3567,0.9077
149,train,0.3118,0.9035
149,val,0.3776,0.8979
150,train,0.2885,0.9095
150,val,0.3689,0.8999
151,train,0.2896,0.9130
151,val,0.3739,0.9038
152,train,0.2893,0.9108
152,val,0.3779,0.8973
153,train,0.2874,0.9099
153,val,0.3431,0.9096
154,train,0.2869,0.9116
154,val,0.3789,0.9005
155,train,0.2841,0.9129
155,val,0.3539,0.9103
156,train,0.2909,0.9101
156,val,0.3645,0.9064
157,train,0.2759,0.9151
