epoch,phase,loss,acc
99,val,0.2075,0.9421
100,train,0.1729,0.9504
100,val,0.2117,0.9428
101,train,0.1787,0.9476
101,val,0.2078,0.9428
102,train,0.1667,0.9527
102,val,0.2112,0.9389
103,train,0.1644,0.9516
103,val,0.2053,0.9402
104,train,0.1662,0.9511
104,val,0.2174,0.9324
105,train,0.1706,0.9515
105,val,0.2147,0.9376
106,train,0.1669,0.9481
106,val,0.2047,0.9421
107,train,0.1594,0.9554
107,val,0.2135,0.9402
108,train,0.1700,0.9515
108,val,0.2086,0.9415
109,train,0.1527,0.9555
109,val,0.2124,0.9415
110,train,0.1669,0.9544
110,val,0.2050,0.9389
111,train,0.1611,0.9501
111,val,0.2253,0.9402
112,train,0.1567,0.9533
112,val,0.2230,0.9350
113,train,0.1606,0.9551
113,val,0.2146,0.9395
114,train,0.1607,0.9530
114,val,0.2028,0.9447
115,train,0.1610,0.9536
115,val,0.2128,0.9421
116,train,0.1660,0.9537
116,val,0.2199,0.9376
117,train,0.1615,0.9520
117,val,0.2075,0.9402
118,train,0.1648,0.9530
118,val,0.2164,0.9369
119,train,0.1717,0.9508
119,val,0.2185,0.9356
120,train,0.1698,0.9497
120,val,0.2142,0.9402
121,train,0.1476,0.9557
121,val,0.2065,0.9389
122,train,0.1601,0.9539
122,val,0.2078,0.9395
123,train,0.1708,0.9480
123,val,0.2101,0.9395
124,train,0.1582,0.9564
124,val,0.2224,0.9363
125,train,0.1616,0.9536
125,val,0.2193,0.9402
126,train,0.1444,0.9553
126,val,0.2273,0.9350
127,train,0.1572,0.9547
127,val,0.2087,0.9415
128,train,0.1608,0.9532
128,val,0.2167,0.9408
129,train,0.1546,0.9537
129,val,0.2258,0.9382
130,train,0.1598,0.9533
130,val,0.2244,0.9389
131,train,0.1607,0.9541
131,val,0.2140,0.9389
132,train,0.1610,0.9532
132,val,0.2300,0.9389
133,train,0.1639,0.9532
133,val,0.2115,0.9402
134,train,0.1541,0.9539
134,val,0.2138,0.9395
135,train,0.1450,0.9597
135,val,0.2222,0.9376
136,train,0.1539,0.9582
136,val,0.2198,0.9395
137,train,0.1559,0.9544
137,val,0.2272,0.9369
138,train,0.1472,0.9592
138,val,0.2165,0.9408
139,train,0.1500,0.9580
139,val,0.2153,0.9369
140,train,0.1533,0.9555
140,val,0.2112,0.9434
141,train,0.1560,0.9544
141,val,0.2260,0.9389
142,train,0.1552,0.9560
142,val,0.2190,0.9382
143,train,0.1470,0.9586
143,val,0.2274,0.9369
144,train,0.1627,0.9541
144,val,0.2279,0.9382
145,train,0.1498,0.9565
145,val,0.2343,0.9369
