iter	Passed	Remaining
401	19281	28682
402	19328	28632
403	19374	28581
404	19415	28524
405	19464	28477
406	19509	28425
407	19562	28385
408	19611	28338
409	19655	28284
410	19703	28237
411	19749	28185
412	19798	28139
413	19843	28087
414	19889	28036
415	19933	27983
416	19977	27929
417	20021	27877
418	20069	27829
419	20119	27784
420	20167	27736
421	20215	27688
422	20263	27640
423	20311	27592
424	20360	27546
425	20410	27501
426	20464	27462
427	20513	27415
428	20562	27368
429	20610	27320
430	20656	27270
431	20704	27221
432	20751	27173
433	20798	27124
434	20845	27074
435	20891	27024
436	20941	26979
437	20988	26930
438	21037	26883
439	21085	26835
440	21134	26790
441	21183	26742
442	21230	26694
443	21283	26652
444	21331	26604
445	21379	26556
446	21429	26511
447	21476	26461
448	21520	26408
449	21565	26357
450	21611	26307
451	21660	26260
452	21707	26212
453	21758	26167
454	21803	26116
455	21853	26070
456	21900	26021
457	21945	25970
458	21996	25926
459	22043	25877
460	22093	25831
461	22141	25784
462	22190	25737
463	22237	25688
464	22285	25639
465	22330	25588
466	22378	25541
467	22430	25497
468	22477	25449
469	22518	25393
470	22565	25343
471	22610	25293
472	22654	25241
473	22699	25189
474	22746	25140
475	22792	25090
476	22843	25046
477	22890	24997
478	22936	24947
479	22987	24903
480	23036	24856
481	23087	24812
482	23138	24767
483	23187	24720
484	23237	24674
485	23285	24626
486	23331	24577
487	23382	24532
488	23432	24486
489	23480	24439
490	23529	24391
491	23572	24338
492	23618	24288
493	23666	24241
494	23712	24191
495	23760	24143
496	23809	24096
497	23858	24050
498	23903	23999
499	23952	23952
500	23996	23901
501	24043	23852
502	24088	23801
503	24133	23750
504	24176	23697
505	24222	23648
506	24272	23601
507	24317	23551
508	24364	23503
509	24411	23454
510	24454	23402
511	24505	23357
512	24552	23308
513	24596	23256
514	24641	23205
515	24687	23156
516	24734	23107
517	24786	23063
518	24830	23012
519	24876	22962
520	24917	22908
521	24967	22863
522	25015	22815
523	25063	22767
524	25109	22718
525	25158	22671
526	25210	22627
527	25257	22578
528	25306	22531
529	25356	22485
530	25404	22438
531	25448	22386
532	25495	22338
533	25541	22288
534	25584	22237
535	25630	22187
536	25675	22137
537	25721	22087
538	25769	22039
539	25817	21992
540	25863	21943
541	25907	21892
542	25954	21843
543	26000	21794
544	26045	21744
545	26097	21700
546	26142	21650
547	26189	21601
548	26237	21554
549	26283	21504
550	26329	21455
551	26375	21406
552	26421	21357
553	26472	21311
554	26519	21263
555	26565	21214
556	26614	21167
557	26664	21121
558	26710	21072
559	26759	21025
560	26804	20975
561	26855	20929
562	26900	20880
563	26946	20830
564	26991	20781
565	27038	20732
566	27086	20684
567	27132	20636
568	27180	20588
569	27227	20540
570	27272	20490
571	27320	20442
572	27370	20396
573	27417	20348
574	27468	20302
575	27517	20256
576	27563	20207
577	27611	20159
578	27655	20108
579	27704	20062
580	27754	20015
581	27800	19966
582	27847	19918
583	27899	19873
584	27944	19823
585	27994	19777
586	28044	19731
587	28091	19683
588	28139	19635
589	28185	19586
590	28234	19539
591	28278	19489
592	28324	19440
593	28371	19392
594	28418	19343
595	28465	19295
596	28515	19249
597	28562	19200
598	28610	19153
599	28661	19107
600	28708	19059
601	28755	19011
602	28806	18965
603	28855	18918
604	28905	18872
605	28953	18824
606	29001	18776
607	29053	18731
608	29099	18682
609	29145	18633
610	29191	18585
611	29237	18536
612	29287	18489
613	29331	18439
614	29386	18396
615	29432	18347
616	29483	18301
617	29532	18254
618	29579	18206
619	29628	18159
620	29677	18112
621	29722	18062
622	29768	18014
623	29815	17965
624	29863	17918
625	29916	17873
626	29963	17825
627	30010	17776
628	30060	17730
629	30108	17682
630	30154	17633
631	30202	17586
632	30251	17539
633	30301	17492
634	30351	17446
635	30399	17398
636	30447	17351
637	30491	17300
638	30537	17251
639	30586	17204
640	30629	17154
641	30678	17107
642	30729	17061
643	30780	17015
644	30828	16967
645	30878	16920
646	30924	16872
647	30971	16823
648	31025	16779
649	31075	16732
650	31118	16682
651	31168	16636
652	31217	16588
653	31263	16539
654	31312	16492
655	31359	16444
656	31406	16396
657	31453	16347
658	31500	16299
659	31544	16249
660	31594	16203
661	31642	16155
662	31688	16107
663	31734	16058
664	31780	16009
665	31828	15961
