iter	MultiClass
0	2.797809173
1	2.465421627
2	2.260587723
3	2.105541326
4	1.967608215
5	1.845395962
6	1.733717322
7	1.650151382
8	1.563774573
9	1.48819888
10	1.422707856
11	1.346573473
12	1.297590643
13	1.233525526
14	1.183553769
15	1.141143709
16	1.094534044
17	1.053035517
18	1.016096904
19	0.974646546
20	0.9388396825
21	0.9062827555
22	0.8800249134
23	0.8488714939
24	0.8207047628
25	0.7944347177
26	0.7690857596
27	0.7468499356
28	0.7266196615
29	0.7064029552
30	0.685634544
31	0.6653825132
32	0.6454103891
33	0.6272619336
34	0.6093900531
35	0.5926494805
36	0.5806787623
37	0.5659512862
38	0.5520746895
39	0.5384925709
40	0.5262553533
41	0.5150716092
42	0.5034072108
43	0.4925646294
44	0.4842962022
45	0.4745286103
46	0.4637254077
47	0.4539427226
48	0.4438808934
49	0.434187483
50	0.4293644412
51	0.4220157763
52	0.4132955163
53	0.4034868195
54	0.3965392484
55	0.3882461744
56	0.3816981719
57	0.3737363856
58	0.3680139333
59	0.3605479749
60	0.3546126522
61	0.3486337759
62	0.3426957637
63	0.3381523476
64	0.3322709951
65	0.3279137553
66	0.3220417157
67	0.317079122
68	0.3123532226
69	0.3067607484
70	0.3030922365
71	0.2989868646
72	0.2948714171
73	0.289794119
74	0.285403341
75	0.2807748852
76	0.2766685498
77	0.2729834595
78	0.2691799918
79	0.2675118112
80	0.264568857
81	0.2602152098
82	0.2570099108
83	0.2534126901
84	0.2518925113
85	0.2487326926
86	0.2465471081
87	0.2436181231
88	0.2409336199
89	0.2386150065
90	0.2351185611
91	0.2328152617
92	0.2314338722
93	0.2286906219
94	0.2253472762
95	0.2236018433
96	0.2225461419
97	0.220291795
98	0.2188449748
99	0.2168339858
100	0.2143754191
101	0.2122238546
102	0.2109293914
103	0.2094032917
104	0.2064042598
105	0.2039437462
106	0.201846192
107	0.2001736361
108	0.198074396
109	0.1963233433
110	0.1941217224
111	0.1916340731
112	0.1897843526
113	0.1878276751
114	0.1868045886
115	0.184554838
116	0.1826649157
117	0.1813773369
118	0.1807321224
119	0.1798255667
120	0.1779860422
121	0.1768710115
122	0.1754418937
123	0.1744863052
124	0.1731943509
125	0.1721882844
126	0.1714397055
127	0.1697884848
128	0.1688476081
129	0.1677963824
130	0.1670276324
131	0.1661541734
132	0.1653674802
133	0.1647954437
134	0.1633560597
135	0.1624442655
136	0.1611322606
137	0.1600001397
138	0.1589489341
139	0.1579970586
140	0.1574694989
141	0.1555209299
142	0.1544280374
143	0.1535818545
144	0.1522375958
145	0.1512658202
146	0.1505945539
147	0.1495046217
148	0.1483459372
149	0.147435277
150	0.1465885522
151	0.1456943501
152	0.1444672945
153	0.1439673321
154	0.143477094
155	0.1428450058
156	0.1423455451
157	0.1412557133
158	0.1394545841
159	0.1388552615
160	0.1377919632
161	0.1372074126
162	0.1365819377
163	0.1361949736
164	0.1352433691
165	0.1342663249
166	0.1336482461
167	0.1327470794
168	0.1320068701
169	0.1314746439
170	0.1300092783
171	0.1294912723
172	0.1285670342
173	0.127695783
174	0.1268820946
175	0.1262331169
176	0.1251258436
177	0.1247282219
178	0.12405819
179	0.1236240295
180	0.1222583353
181	0.1216992645
182	0.120990195
183	0.1201015624
184	0.1197054962
185	0.1191126464
186	0.1186432617
187	0.1179830745
188	0.1174464328
189	0.116961403
190	0.1165516787
191	0.1159648701
192	0.115575367
193	0.1150195878
194	0.1143018377
195	0.1138093115
196	0.1133825571
197	0.1124765533
198	0.112020305
199	0.1113813526
200	0.110511707
201	0.1099739012
202	0.109580103
203	0.1091668964
204	0.1086570291
205	0.1080179462
206	0.1074677768
207	0.1066808929
208	0.1063789285
209	0.1060450917
210	0.1056977573
211	0.1051514314
212	0.1048153667
213	0.1045661884
214	0.1042360245
215	0.1037773476
216	0.103336062
217	0.1026389446
218	0.1018308761
219	0.1015589174
220	0.1012562906
221	0.1010130632
222	0.1005863991
223	0.1002738674
224	0.09980897863
225	0.09941551161
226	0.09853737608
227	0.09822205453
228	0.09713975931
229	0.09675347762
230	0.09636248934
231	0.09598750748
232	0.09564436787
233	0.09534700965
234	0.09494590571
235	0.09451072164
236	0.09404923484
237	0.09344946056
238	0.09305869306
239	0.09281827556
240	0.09231601503
241	0.09204394595
242	0.09150170449
243	0.09120083388
244	0.09086812103
245	0.0905227335
246	0.09028545707
247	0.09002471793
248	0.08964638426
249	0.08919608691
250	0.0887052366
251	0.08840490791
252	0.08797823383
253	0.08771234655
254	0.0875005098
255	0.08723728189
256	0.08672224632
257	0.08638462617
258	0.08619469665
259	0.08574404806
260	0.08556447504
261	0.08531491531
262	0.08505340345
263	0.08463064317
264	0.08431490014
265	0.08382942378
266	0.08330879349
267	0.08296844372
268	0.08266414603
269	0.08230632969
270	0.08185929383
271	0.08156445449
272	0.08139520788
273	0.08116836322
274	0.08079563431
275	0.08052028366
276	0.08034352557
277	0.07984154101
278	0.0795840132
279	0.07926790889
280	0.07898180032
281	0.07854635533
282	0.07819857436
283	0.07796630558
284	0.07775056005
285	0.07756401245
286	0.0768580639
287	0.07634751415
288	0.07604412968
289	0.07562184106
290	0.07540257312
291	0.07506552498
292	0.07457761002
293	0.07422258853
294	0.07401215172
295	0.07377455416
296	0.07342047599
297	0.07324979431
298	0.07306418
299	0.07285611655
300	0.07250970541
301	0.0723361185
302	0.07185015542
303	0.07164336145
304	0.07148672428
305	0.07132697615
306	0.07111364915
307	0.07092679547
308	0.07039803151
309	0.07023181056
310	0.06998948634
311	0.06974373002
312	0.0695873337
313	0.06939711817
314	0.06913104523
315	0.06879906998
316	0.06857218016
317	0.06826608615
318	0.06803883506
319	0.06780856332
320	0.0676792274
321	0.06753079917
322	0.06735687607
323	0.06712448687
324	0.06699450366
325	0.06672835044
326	0.06652411549
327	0.0663681507
328	0.06602510141
329	0.06576985664
330	0.0655158412
331	0.0653147975
332	0.06512798396
333	0.06490633763
334	0.06467182093
335	0.06449390877
336	0.0641885373
337	0.06380127716
338	0.06363881446
339	0.06343995847
340	0.06329475661
341	0.06305272342
342	0.06279784996
343	0.06261393664
344	0.06242850798
345	0.06218552143
346	0.06190062212
347	0.06178743813
348	0.06147335094
349	0.06121177385
350	0.06105292388
351	0.06091180141
352	0.06071227807
353	0.06049140446
354	0.0601529313
355	0.05994691507
356	0.05978537061
357	0.05961805078
358	0.05947151422
359	0.05930085262
360	0.05915769297
361	0.0589206323
362	0.05873993532
363	0.0585935794
364	0.0584442229
365	0.05826762035
366	0.05814865599
367	0.05801557185
368	0.05783305847
369	0.05771307552
370	0.05758818025
371	0.05724316904
372	0.05687635598
373	0.05671443519
374	0.05654820421
375	0.05627157907
376	0.05615946887
377	0.05580948513
378	0.05571744066
379	0.05557387959
380	0.05541867749
381	0.05519554091
382	0.05499444703
383	0.05487454435
384	0.05475741145
385	0.0546168911
386	0.05448248731
387	0.05437876166
388	0.05425516095
389	0.05414744625
390	0.0540586984
391	0.05374610647
